emp_id,age,experience_yrs,salary_inr,rating,attendance_pct
1043.00,30.00,9.70,865495.00,2.30,90.80
1283.00,17.00,2.70,561436.00,3.10,94.50
1212.00,31.00,10.30,493470.00,3.20,91.70
1172.00,28.00,11.50,814427.00,3.60,93.00
1340.00,34.00,9.00,282732.00,4.00,97.70
1302.00,37.00,4.40,497531.00,3.80,91.60
1089.00,35.00,8.00,978890.00,3.80,84.70
1035.00,36.00,5.60,902249.00,2.50,101.50
1010.00,38.00,9.90,314242.00,2.70,103.60
1217.00,28.00,5.20,569631.00,2.70,86.50
1020.00,41.00,9.80,530045.00,4.00,97.30
1195.00,31.00,3.60,596216.00,3.60,89.10
1236.00,36.00,-2.10,718605.00,3.60,96.20
1054.00,23.00,9.00,626076.00,1.40,83.60
1269.00,26.00,17.60,394502.00,4.10,85.00
1013.00,20.00,6.40,840921.00,4.30,78.90
1136.00,nan,nan,854869.00,1.80,-93.00
1299.00,36.00,7.30,-509838.00,3.80,96.60
1295.00,27.00,6.70,562333.00,3.10,103.40
1158.00,23.00,7.00,592061.00,3.80,85.90
1147.00,28.00,5.50,790610.00,2.40,102.70
1106.00,11.00,11.00,603681.00,2.70,106.90
1188.00,30.00,4.60,816812.00,3.00,97.80
1389.00,28.00,14.30,736114.00,3.40,103.40
1184.00,31.00,8.50,449251.00,2.40,nan
1392.00,31.00,5.20,652878.00,3.40,93.40
1276.00,27.00,9.70,788557.00,2.10,87.30
1197.00,36.00,5.00,765057.00,3.30,84.40
1141.00,34.00,7.20,353849.00,3.50,94.50
1374.00,34.00,18.60,490186.00,nan,92.10
1155.00,40.00,nan,719166.00,2.90,96.70
1352.00,35.00,3.70,502378.00,2.60,85.90
1134.00,32.00,10.20,643486.00,2.70,90.50
1064.00,28.00,2.00,676171.00,2.90,87.70
1178.00,22.00,7.60,230579.00,3.30,103.30
1250.00,nan,5.70,566975.00,2.90,99.00
1104.00,42.00,5.20,523950.00,3.30,87.40
1367.00,41.00,10.10,868503.00,3.60,105.70
1314.00,24.00,6.80,656781.00,3.50,91.10
1121.00,32.00,2.00,940690.00,3.50,-inf
1315.00,30.00,4.60,929284.00,4.30,87.50
1145.00,34.00,7.60,596741.00,3.80,94.20
1307.00,37.00,9.20,618803.00,3.10,83.30
1362.00,33.00,nan,669191.00,3.10,91.50
1278.00,33.00,4.40,378100.00,4.30,90.90
1046.00,30.00,8.00,576014.00,9.80,94.60
1201.00,28.00,0.70,-628004.00,2.40,90.40
1157.00,43.00,17.80,889704.00,3.00,94.20
1221.00,36.00,9.10,612478.00,3.20,84.40
1308.00,35.00,3.50,541926.00,3.90,83.60
1323.00,29.00,2.10,789393.00,4.30,-inf
1061.00,27.00,6.30,778626.00,3.70,90.00
1390.00,30.00,5.20,366350.00,5.10,98.00
1137.00,18.00,6.20,652579.00,3.30,92.20
1073.00,37.00,-0.70,631799.00,2.70,99.20
1301.00,41.00,1.80,403355.00,2.90,92.90
1312.00,35.00,7.70,426149.00,2.70,94.00
1149.00,nan,6.40,899134.00,4.00,95.20
1246.00,35.00,8.00,385564.00,4.40,84.80
1171.00,-32.00,4.90,655872.00,4.10,99.50
1257.00,24.00,3.10,707442.00,3.30,85.50
1047.00,22.00,2.00,399530.00,1.70,94.90
1245.00,34.00,3.50,911877.00,3.00,105.70
1244.00,29.00,8.10,785917.00,2.30,94.20
1150.00,-inf,11.70,500758.00,2.80,99.20
1381.00,37.00,nan,867382.00,3.00,89.30
1161.00,36.00,12.10,651871.00,4.60,90.50
1072.00,25.00,-3.80,716120.00,3.30,87.30
1393.00,37.00,8.40,960462.00,3.40,90.30
1255.00,39.00,4.40,700161.00,4.00,93.90
1112.00,26.00,7.10,564917.00,3.60,99.70
1153.00,29.00,8.00,739057.00,4.30,89.70
1069.00,32.00,10.80,693708.00,3.70,90.10
1218.00,26.00,8.80,635080.00,3.80,93.20
1254.00,34.00,1.50,869347.00,3.90,84.70
1080.00,29.00,2.00,597513.00,3.00,84.80
1074.00,31.00,11.60,770069.00,4.30,101.40
1159.00,28.00,1.80,627274.00,2.90,91.90
1162.00,26.00,nan,551011.00,2.70,108.80
1030.00,35.00,2.10,979548.00,2.50,93.90
1174.00,35.00,2.90,379713.00,2.80,91.20
1233.00,42.00,5.90,-962101.00,4.40,88.30
1211.00,18.00,6.30,453195.00,3.80,89.00
1125.00,41.00,10.70,488851.00,3.40,83.50
1108.00,34.00,1.70,952005.00,3.40,95.40
1026.00,38.00,-3.50,1077320.00,3.60,93.20
1087.00,37.00,5.20,957444.00,3.10,92.60
1041.00,nan,-2.80,nan,3.50,82.30
1079.00,30.00,8.20,497981.00,3.10,101.80
1268.00,31.00,8.60,710486.00,2.10,94.30
1391.00,42.00,inf,747575.00,3.50,81.50
1348.00,25.00,nan,528588.00,3.20,98.50
1051.00,30.00,1.20,649044.00,3.90,88.00
1163.00,31.00,7.80,470359.00,4.20,92.40
1200.00,35.00,7.10,964759.00,3.10,102.00
1243.00,33.00,5.60,614072.00,3.00,87.20
1333.00,37.00,4.10,311823.00,nan,87.40
1226.00,21.00,8.70,1053016.00,4.20,98.20
1191.00,29.00,6.20,1035169.00,3.50,86.90
1336.00,37.00,1.80,834269.00,2.60,95.40
1222.00,32.00,7.10,769808.00,4.90,88.60
1286.00,18.00,-2.70,484894.00,4.70,104.40
1082.00,26.00,11.20,979708.00,2.20,nan
1062.00,33.00,7.50,398062.00,2.60,84.80
1223.00,28.00,2.10,586645.00,3.30,108.30
1264.00,34.00,2.70,767880.00,2.80,98.50
1097.00,22.00,7.90,831620.00,3.70,90.60
1119.00,25.00,8.20,675006.00,3.70,88.60
1297.00,32.00,-0.90,758226.00,3.40,104.30
1110.00,44.00,4.80,556913.00,3.60,89.80
1065.00,37.00,7.90,688278.00,4.10,94.80
1090.00,30.00,9.40,665235.00,nan,94.60
1286.00,18.00,-2.70,484894.00,4.70,104.40
1002.00,43.00,3.80,457491.00,1.80,86.60
1177.00,30.00,10.50,866876.00,3.20,81.00
1095.00,38.00,-1.50,961753.00,3.60,86.50
1387.00,30.00,0.40,526014.00,1.90,88.60
1373.00,34.00,7.60,733408.00,3.40,85.60
1092.00,39.00,5.50,548213.00,3.00,91.60
1091.00,20.00,11.90,651687.00,4.50,96.20
1204.00,27.00,7.30,468110.00,3.30,98.50
1139.00,41.00,12.00,192158.00,2.20,89.20
1006.00,-29.00,4.70,830473.00,3.40,91.10
1368.00,34.00,-3.20,891396.00,3.80,87.70
1277.00,30.00,7.70,992586.00,nan,80.30
1034.00,39.00,4.10,538068.00,5.20,88.10
1012.00,36.00,9.90,807604.00,3.90,93.30
1193.00,37.00,4.60,330295.00,3.60,90.10
1183.00,38.00,4.40,655881.00,4.80,89.30
1096.00,34.00,6.60,978056.00,4.40,90.80
1343.00,29.00,2.40,615717.00,4.70,96.80
1078.00,42.00,6.70,nan,3.50,95.80
1032.00,26.00,-0.80,636276.00,4.00,86.30
1280.00,34.00,8.40,753077.00,3.70,88.40
1366.00,44.00,4.20,653828.00,3.60,99.70
1124.00,35.00,-3.60,486529.00,4.20,92.30
1256.00,39.00,8.30,435800.00,4.70,93.30
1165.00,nan,3.90,659124.00,3.00,90.00
1143.00,29.00,-0.70,662757.00,4.00,86.60
1213.00,33.00,0.60,nan,3.80,87.90
1324.00,28.00,7.50,708789.00,3.20,104.00
1266.00,42.00,2.40,407818.00,4.80,93.20
1262.00,25.00,8.40,676155.00,2.80,82.90
1247.00,27.00,1.70,870611.00,4.50,88.90
1031.00,35.00,-1.30,-1043857.00,4.00,nan
1360.00,29.00,8.90,522263.00,3.20,103.50
1142.00,37.00,4.60,830832.00,5.20,89.90
1011.00,36.00,8.20,608003.00,3.70,93.60
1231.00,35.00,5.90,299971.00,nan,105.10
1289.00,31.00,9.50,545983.00,2.60,94.70
1240.00,29.00,5.30,712245.00,4.00,97.60
1077.00,36.00,6.50,1001356.00,4.00,85.20
1132.00,24.00,13.50,672042.00,3.30,92.70
1287.00,28.00,10.90,214391.00,2.70,94.90
1342.00,30.00,5.60,-287466.00,2.90,90.30
1206.00,39.00,11.00,790025.00,2.60,95.10
1156.00,28.00,2.90,665055.00,4.00,90.90
1241.00,22.00,8.20,714010.00,3.40,96.60
1099.00,30.00,2.70,721710.00,3.00,96.70
1230.00,nan,6.90,805095.00,3.40,101.80
1329.00,43.00,5.60,483246.00,3.60,103.10
1337.00,37.00,9.10,583492.00,3.20,91.30
1242.00,23.00,6.20,809244.00,3.50,90.90
1027.00,33.00,-2.40,740742.00,4.30,88.80
1310.00,39.00,7.90,866005.00,2.30,86.10
1067.00,32.00,8.20,280188.00,3.40,nan
1339.00,36.00,4.20,879983.00,3.30,88.40
1071.00,28.00,12.60,492893.00,3.90,94.70
1144.00,36.00,6.50,228099.00,3.70,88.30
1033.00,24.00,8.40,600207.00,4.60,97.10
1039.00,34.00,1.00,695241.00,3.40,96.90
1053.00,42.00,11.60,460764.00,3.50,88.90
1154.00,nan,3.20,617575.00,3.60,90.10
1118.00,26.00,8.40,892829.00,1.70,83.90
1076.00,33.00,7.20,468742.00,2.30,97.70
1321.00,25.00,17.00,842229.00,nan,98.60
1210.00,22.00,12.90,209929.00,4.20,95.10
1044.00,38.00,10.80,648786.00,3.90,87.30
1022.00,34.00,15.10,402487.00,3.40,84.80
1034.00,39.00,4.10,538068.00,5.20,88.10
1056.00,20.00,8.20,634964.00,2.90,175.00
1055.00,40.00,nan,630839.00,3.70,103.30
1098.00,31.00,5.70,890132.00,2.80,104.50
1148.00,22.00,-1.00,766960.00,4.50,91.70
1394.00,30.00,-0.80,491441.00,3.20,91.60
1341.00,34.00,3.20,476763.00,3.90,95.40
1027.00,33.00,-2.40,740742.00,4.30,88.80
1208.00,33.00,-0.70,460323.00,2.00,102.10
1220.00,24.00,2.10,680107.00,3.70,nan
1128.00,41.00,1.70,939575.00,1.80,96.90
1291.00,40.00,12.10,694382.00,4.10,90.10
1202.00,16.00,3.30,869760.00,nan,91.30
1332.00,25.00,6.00,812863.00,3.50,89.90
1271.00,35.00,2.50,694815.00,3.80,94.80
1081.00,33.00,5.40,383862.00,2.60,-96.60
1263.00,29.00,9.70,627752.00,4.10,95.90
1160.00,38.00,0.10,971878.00,1.00,87.30
1227.00,nan,6.10,471549.00,2.20,nan
1294.00,28.00,3.20,107771.00,2.40,95.30
1023.00,26.00,7.00,872188.00,4.20,98.00
1152.00,31.00,8.60,368842.00,3.50,95.90
1238.00,30.00,2.60,328295.00,4.30,102.70
1120.00,32.00,0.90,593793.00,3.30,90.50
1196.00,34.00,7.20,839067.00,3.80,94.70
1330.00,39.00,8.40,685755.00,3.10,92.40
1109.00,38.00,1.00,887802.00,4.00,84.10
1261.00,39.00,-2.00,655445.00,3.10,100.10
1395.00,24.00,9.90,649283.00,3.20,97.70
1147.00,28.00,5.50,790610.00,2.40,102.70
1370.00,25.00,4.00,696464.00,4.30,95.70
1388.00,36.00,8.70,551505.00,4.00,94.40
1049.00,33.00,8.10,820003.00,2.30,98.20
1328.00,33.00,7.80,390510.00,2.90,87.40
1397.00,30.00,3.80,772635.00,3.60,nan
1100.00,39.00,8.40,779122.00,2.90,85.60
1192.00,43.00,6.50,802689.00,3.70,102.50
1229.00,20.00,3.00,540042.00,3.30,86.60
1377.00,44.00,0.90,430802.00,4.50,93.80
1304.00,33.00,18.70,735726.00,4.40,90.70
1212.00,31.00,10.30,493470.00,3.20,91.70
1113.00,38.00,1.60,875705.00,4.30,97.50
1007.00,26.00,12.80,522572.00,3.30,98.50
1309.00,32.00,7.80,722762.00,3.60,95.80
1179.00,29.00,-0.90,262231.00,4.30,88.20
1131.00,27.00,8.40,724167.00,3.70,98.90
1259.00,30.00,3.70,313280.00,3.00,81.40
1198.00,34.00,-2.90,848805.00,4.30,91.80
1029.00,27.00,1.00,228463.00,2.60,87.60
1298.00,36.00,3.40,482771.00,3.70,86.90
1274.00,34.00,6.90,816084.00,2.60,92.00
1021.00,36.00,1.60,687141.00,3.80,88.40
1100.00,39.00,8.40,779122.00,2.90,85.60
1052.00,nan,7.60,732461.00,3.50,100.80
1088.00,39.00,5.30,808287.00,3.10,95.10
1235.00,30.00,14.40,492353.00,2.40,nan
1138.00,25.00,10.30,625744.00,2.70,94.60
1345.00,42.00,7.50,554209.00,3.90,88.10
1320.00,35.00,7.60,551768.00,2.90,93.70
1167.00,27.00,10.60,629615.00,4.90,102.80
1117.00,41.00,15.20,584154.00,2.60,86.30
1182.00,36.00,11.20,578829.00,3.70,82.50
1363.00,35.00,11.50,316495.00,3.80,91.20
1189.00,24.00,6.40,727130.00,3.60,inf
1050.00,31.00,7.10,901985.00,3.70,93.10
1319.00,25.00,6.90,nan,1.40,93.10
1272.00,29.00,4.10,657715.00,3.90,90.00
1070.00,29.00,5.60,592528.00,2.60,80.50
1048.00,31.00,9.60,597051.00,1.60,100.40
1175.00,35.00,-4.60,891381.00,3.70,100.10
1306.00,31.00,5.60,813388.00,4.30,94.00
1253.00,31.00,2.60,547064.00,2.90,84.80
1024.00,32.00,7.40,529925.00,2.50,94.70
1396.00,nan,10.80,699591.00,nan,nan
1285.00,39.00,4.50,823705.00,2.40,96.60
1180.00,33.00,4.10,229871.00,4.60,90.40
1205.00,39.00,12.40,481379.00,3.90,104.40
1361.00,34.00,7.40,451374.00,4.60,100.00
1075.00,31.00,6.60,nan,3.70,92.60
1232.00,28.00,13.70,627657.00,2.90,92.80
1228.00,29.00,4.90,1182126.00,3.80,97.10
1186.00,25.00,5.90,513639.00,4.30,nan
1126.00,37.00,9.00,1016821.00,3.10,85.30
1060.00,25.00,nan,834659.00,4.00,96.20
1111.00,35.00,4.80,403808.00,3.80,106.80
1036.00,31.00,5.40,320824.00,3.30,-12.00
1384.00,29.00,11.60,662885.00,4.10,94.10
1331.00,34.00,8.30,549474.00,3.30,nan
1009.00,30.00,-3.60,915613.00,3.70,99.00
1224.00,34.00,7.80,422851.00,3.80,88.90
1355.00,38.00,6.30,659259.00,2.90,96.60
1004.00,44.00,8.60,697858.00,4.40,91.40
1346.00,-48.00,12.50,875969.00,2.90,92.40
1303.00,34.00,6.80,545395.00,3.10,80.80
1203.00,-27.00,-0.30,765042.00,3.60,93.20
1326.00,nan,8.70,1089159.00,2.50,86.10
1239.00,26.00,11.60,376986.00,3.80,84.70
1399.00,24.00,3.00,749130.00,3.60,92.10
1249.00,30.00,4.00,928065.00,2.80,nan
1123.00,26.00,9.70,1022400.00,3.20,102.80
1317.00,25.00,7.30,612613.00,2.80,90.80
1252.00,34.00,2.70,668045.00,2.50,78.80
1292.00,22.00,8.40,584501.00,3.40,91.30
1226.00,21.00,8.70,1053016.00,4.20,98.20
1344.00,33.00,0.20,1039965.00,3.80,81.00
1085.00,37.00,6.40,932236.00,3.10,92.00
1028.00,43.00,7.00,816969.00,2.40,97.50
1282.00,28.00,1.40,638502.00,3.30,nan
1093.00,30.00,7.40,568526.00,3.70,92.10
1371.00,15.00,3.70,580406.00,4.20,93.30
1376.00,29.00,7.90,530446.00,3.10,89.60
1369.00,35.00,6.80,604970.00,3.60,102.70
1365.00,30.00,5.10,474054.00,4.70,100.00
1114.00,32.00,5.60,nan,3.30,101.00
1334.00,37.00,9.00,825215.00,3.90,88.10
1354.00,36.00,6.10,977102.00,4.00,100.80
1151.00,36.00,6.10,776118.00,3.50,86.50
1130.00,21.00,3.70,196238.00,2.20,96.10
1040.00,28.00,4.80,1098526.00,3.00,96.40
1356.00,43.00,9.20,1026446.00,4.10,90.40
1305.00,31.00,2.80,338891.00,3.30,94.50
1318.00,40.00,10.50,625407.00,2.10,101.20
1358.00,39.00,4.20,592209.00,4.30,102.60
1019.00,25.00,9.70,895376.00,4.10,81.60
1359.00,48.00,5.50,892041.00,3.70,101.70
1335.00,33.00,5.60,1023934.00,4.30,94.50
1311.00,30.00,4.90,nan,3.90,104.40
1190.00,24.00,6.30,802653.00,4.00,93.40
1038.00,27.00,3.20,1103954.00,2.60,90.80
